/home/ostrich/anaconda3/envs/my_master/lib/python3.9/site-packages/torch/utils/checkpoint.py:429: UserWarning: torch.utils.checkpoint: please pass in use_reentrant=True or use_reentrant=False explicitly. The default value of use_reentrant will be updated to be False in the future. To maintain current behavior, pass use_reentrant=True. It is recommended that you use use_reentrant=False. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
Could not estimate the number of tokens of the input, floating-point operations will not be computed
{'loss': 0.6907, 'learning_rate': 5.000000000000001e-07, 'rewards/chosen': 0.00278968783095479, 'rewards/rejected': -0.0024118423461914062, 'rewards/accuracies': 0.5, 'rewards/margins': 0.005201529711484909, 'logps/rejected': -290.07196044921875, 'logps/chosen': -201.966064453125, 'logits/rejected': 0.7632055878639221, 'logits/chosen': 0.8970862030982971, 'epoch': 0.0}
{'loss': 0.698, 'learning_rate': 1.0000000000000002e-06, 'rewards/chosen': -0.005152893252670765, 'rewards/rejected': 0.0041437153704464436, 'rewards/accuracies': 0.375, 'rewards/margins': -0.009296608157455921, 'logps/rejected': -260.9277648925781, 'logps/chosen': -183.56851196289062, 'logits/rejected': 0.8719277381896973, 'logits/chosen': 1.2205355167388916, 'epoch': 0.0}
{'loss': 0.6833, 'learning_rate': 1.5e-06, 'rewards/chosen': 0.01600055769085884, 'rewards/rejected': -0.004702664911746979, 'rewards/accuracies': 0.625, 'rewards/margins': 0.02070322260260582, 'logps/rejected': -246.6088409423828, 'logps/chosen': -383.24127197265625, 'logits/rejected': 0.9028739333152771, 'logits/chosen': 0.9114354848861694, 'epoch': 0.0}
{'loss': 0.7089, 'learning_rate': 2.0000000000000003e-06, 'rewards/chosen': -0.004200744442641735, 'rewards/rejected': 0.026438619941473007, 'rewards/accuracies': 0.375, 'rewards/margins': -0.030639365315437317, 'logps/rejected': -221.2367706298828, 'logps/chosen': -282.8982238769531, 'logits/rejected': 0.6890668272972107, 'logits/chosen': 0.836948037147522, 'epoch': 0.0}
{'loss': 0.6983, 'learning_rate': 2.5e-06, 'rewards/chosen': 0.0005201806779950857, 'rewards/rejected': 0.010454082861542702, 'rewards/accuracies': 0.5, 'rewards/margins': -0.009933901019394398, 'logps/rejected': -175.94081115722656, 'logps/chosen': -170.2979278564453, 'logits/rejected': 1.0427340269088745, 'logits/chosen': 1.0922954082489014, 'epoch': 0.0}
{'loss': 0.6974, 'learning_rate': 3e-06, 'rewards/chosen': -0.014154219999909401, 'rewards/rejected': -0.005904197692871094, 'rewards/accuracies': 0.625, 'rewards/margins': -0.008250022307038307, 'logps/rejected': -196.3343048095703, 'logps/chosen': -191.97218322753906, 'logits/rejected': 0.6509829163551331, 'logits/chosen': 0.7534793019294739, 'epoch': 0.0}
{'loss': 0.7003, 'learning_rate': 3.5000000000000004e-06, 'rewards/chosen': 0.005341935902833939, 'rewards/rejected': 0.019138718023896217, 'rewards/accuracies': 0.25, 'rewards/margins': -0.013796782121062279, 'logps/rejected': -196.78704833984375, 'logps/chosen': -244.7860870361328, 'logits/rejected': 0.7789790630340576, 'logits/chosen': 0.9735187292098999, 'epoch': 0.0}
{'loss': 0.6944, 'learning_rate': 4.000000000000001e-06, 'rewards/chosen': 0.006167578510940075, 'rewards/rejected': 0.008495044894516468, 'rewards/accuracies': 0.375, 'rewards/margins': -0.002327467082068324, 'logps/rejected': -207.5919189453125, 'logps/chosen': -216.6953582763672, 'logits/rejected': 0.9208033084869385, 'logits/chosen': 0.879364013671875, 'epoch': 0.0}
{'loss': 0.6842, 'learning_rate': 4.5e-06, 'rewards/chosen': 0.008987712673842907, 'rewards/rejected': -0.009127616882324219, 'rewards/accuracies': 0.75, 'rewards/margins': 0.0181153304874897, 'logps/rejected': -281.6354064941406, 'logps/chosen': -417.8127746582031, 'logits/rejected': 0.6751528978347778, 'logits/chosen': 0.9774234890937805, 'epoch': 0.01}
{'loss': 0.6962, 'learning_rate': 5e-06, 'rewards/chosen': -0.0029960395768284798, 'rewards/rejected': 0.0029342896305024624, 'rewards/accuracies': 0.375, 'rewards/margins': -0.005930328741669655, 'logps/rejected': -209.46224975585938, 'logps/chosen': -141.55459594726562, 'logits/rejected': 0.9640750288963318, 'logits/chosen': 1.1141326427459717, 'epoch': 0.01}
{'loss': 0.6903, 'learning_rate': 5.500000000000001e-06, 'rewards/chosen': -0.026759767904877663, 'rewards/rejected': -0.034094713628292084, 'rewards/accuracies': 0.625, 'rewards/margins': 0.007334948517382145, 'logps/rejected': -309.30230712890625, 'logps/chosen': -482.163330078125, 'logits/rejected': 0.8400979042053223, 'logits/chosen': 0.9417125582695007, 'epoch': 0.01}
{'loss': 0.6919, 'learning_rate': 6e-06, 'rewards/chosen': 0.0017627235502004623, 'rewards/rejected': -0.0016410837415605783, 'rewards/accuracies': 0.75, 'rewards/margins': 0.0034038065932691097, 'logps/rejected': -242.1913604736328, 'logps/chosen': -184.35958862304688, 'logits/rejected': 0.8492737412452698, 'logits/chosen': 0.8754200339317322, 'epoch': 0.01}
{'loss': 0.6848, 'learning_rate': 6.5000000000000004e-06, 'rewards/chosen': -0.0018048984929919243, 'rewards/rejected': -0.01948075369000435, 'rewards/accuracies': 0.5, 'rewards/margins': 0.01767585426568985, 'logps/rejected': -251.09942626953125, 'logps/chosen': -309.2161865234375, 'logits/rejected': 0.5148252844810486, 'logits/chosen': 0.8571889996528625, 'epoch': 0.01}
{'loss': 0.6871, 'learning_rate': 7.000000000000001e-06, 'rewards/chosen': 0.009392738342285156, 'rewards/rejected': -0.002921676728874445, 'rewards/accuracies': 0.75, 'rewards/margins': 0.012314414605498314, 'logps/rejected': -302.28326416015625, 'logps/chosen': -388.8937683105469, 'logits/rejected': 0.7957944869995117, 'logits/chosen': 1.0777400732040405, 'epoch': 0.01}
{'loss': 0.6966, 'learning_rate': 7.5e-06, 'rewards/chosen': -0.0028152228333055973, 'rewards/rejected': 0.0038905153051018715, 'rewards/accuracies': 0.5, 'rewards/margins': -0.006705739535391331, 'logps/rejected': -290.2657165527344, 'logps/chosen': -274.73223876953125, 'logits/rejected': 0.845154881477356, 'logits/chosen': 1.160136342048645, 'epoch': 0.01}
{'loss': 0.6985, 'learning_rate': 8.000000000000001e-06, 'rewards/chosen': -0.012843036092817783, 'rewards/rejected': -0.0022643087431788445, 'rewards/accuracies': 0.5, 'rewards/margins': -0.010578728280961514, 'logps/rejected': -179.65078735351562, 'logps/chosen': -150.04420471191406, 'logits/rejected': 0.8486286997795105, 'logits/chosen': 1.125391960144043, 'epoch': 0.01}
{'loss': 0.691, 'learning_rate': 8.500000000000002e-06, 'rewards/chosen': 0.0073656560853123665, 'rewards/rejected': 0.002828359603881836, 'rewards/accuracies': 0.625, 'rewards/margins': 0.0045372964814305305, 'logps/rejected': -209.5861053466797, 'logps/chosen': -118.86344909667969, 'logits/rejected': 0.7657036185264587, 'logits/chosen': 0.9145839214324951, 'epoch': 0.01}
{'loss': 0.6891, 'learning_rate': 9e-06, 'rewards/chosen': -0.007047617807984352, 'rewards/rejected': -0.01572127267718315, 'rewards/accuracies': 0.5, 'rewards/margins': 0.008673655800521374, 'logps/rejected': -174.7420654296875, 'logps/chosen': -200.88677978515625, 'logits/rejected': 0.7270456552505493, 'logits/chosen': 0.8232568502426147, 'epoch': 0.01}
