/home/ostrich/anaconda3/envs/my_master/lib/python3.9/site-packages/torch/utils/checkpoint.py:429: UserWarning: torch.utils.checkpoint: please pass in use_reentrant=True or use_reentrant=False explicitly. The default value of use_reentrant will be updated to be False in the future. To maintain current behavior, pass use_reentrant=True. It is recommended that you use use_reentrant=False. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
Could not estimate the number of tokens of the input, floating-point operations will not be computed
{'loss': 0.6898, 'learning_rate': 1.0000000000000002e-06, 'rewards/chosen': -0.0017918350640684366, 'rewards/rejected': -0.009317183867096901, 'rewards/accuracies': 0.5, 'rewards/margins': 0.007525348570197821, 'logps/rejected': -170.3253631591797, 'logps/chosen': -136.59890747070312, 'logits/rejected': 0.47662580013275146, 'logits/chosen': 0.6007204055786133, 'epoch': 0.0}
{'loss': 0.6939, 'learning_rate': 2.0000000000000003e-06, 'rewards/chosen': -0.0011439083609730005, 'rewards/rejected': -0.00018589431419968605, 'rewards/accuracies': 0.5625, 'rewards/margins': -0.0009580142796039581, 'logps/rejected': -200.04844665527344, 'logps/chosen': -205.86546325683594, 'logits/rejected': 0.477784126996994, 'logits/chosen': 0.6433841586112976, 'epoch': 0.0}
{'loss': 0.7003, 'learning_rate': 3e-06, 'rewards/chosen': -0.0076580592431128025, 'rewards/rejected': 0.005963802803307772, 'rewards/accuracies': 0.375, 'rewards/margins': -0.013621861115098, 'logps/rejected': -216.66793823242188, 'logps/chosen': -109.9493179321289, 'logits/rejected': 0.3587513864040375, 'logits/chosen': 0.4483908414840698, 'epoch': 0.0}
{'loss': 0.6885, 'learning_rate': 4.000000000000001e-06, 'rewards/chosen': -0.0014709057286381721, 'rewards/rejected': -0.011102622374892235, 'rewards/accuracies': 0.5, 'rewards/margins': 0.009631717577576637, 'logps/rejected': -157.49795532226562, 'logps/chosen': -159.55331420898438, 'logits/rejected': 0.4273720383644104, 'logits/chosen': 0.6246442198753357, 'epoch': 0.01}
{'loss': 0.6895, 'learning_rate': 5e-06, 'rewards/chosen': 0.0015959920128807425, 'rewards/rejected': -0.00591931352391839, 'rewards/accuracies': 0.625, 'rewards/margins': 0.007515305653214455, 'logps/rejected': -159.8015899658203, 'logps/chosen': -133.2537841796875, 'logits/rejected': 0.542312741279602, 'logits/chosen': 0.5192146301269531, 'epoch': 0.01}
{'loss': 0.6936, 'learning_rate': 6e-06, 'rewards/chosen': 0.003785491455346346, 'rewards/rejected': 0.004236054606735706, 'rewards/accuracies': 0.4375, 'rewards/margins': -0.0004505638498812914, 'logps/rejected': -224.30844116210938, 'logps/chosen': -177.5091552734375, 'logits/rejected': 0.5759040117263794, 'logits/chosen': 0.6314566731452942, 'epoch': 0.01}
{'loss': 0.7, 'learning_rate': 7.000000000000001e-06, 'rewards/chosen': -0.005177450831979513, 'rewards/rejected': 0.008344674482941628, 'rewards/accuracies': 0.3125, 'rewards/margins': -0.013522125780582428, 'logps/rejected': -190.94017028808594, 'logps/chosen': -129.6958770751953, 'logits/rejected': 0.558403491973877, 'logits/chosen': 0.790338933467865, 'epoch': 0.01}
{'loss': 0.6933, 'learning_rate': 8.000000000000001e-06, 'rewards/chosen': -0.008489470928907394, 'rewards/rejected': -0.00891655683517456, 'rewards/accuracies': 0.75, 'rewards/margins': 0.00042708590626716614, 'logps/rejected': -263.5169677734375, 'logps/chosen': -297.2010803222656, 'logits/rejected': 0.6127588748931885, 'logits/chosen': 0.6175944805145264, 'epoch': 0.01}
{'loss': 0.6807, 'learning_rate': 9e-06, 'rewards/chosen': 0.004262005910277367, 'rewards/rejected': -0.02170323207974434, 'rewards/accuracies': 0.6875, 'rewards/margins': 0.025965239852666855, 'logps/rejected': -220.83987426757812, 'logps/chosen': -231.08566284179688, 'logits/rejected': 0.5626037120819092, 'logits/chosen': 0.5310541391372681, 'epoch': 0.01}
{'loss': 0.6972, 'learning_rate': 1e-05, 'rewards/chosen': -0.007505369372665882, 'rewards/rejected': -2.899160608649254e-05, 'rewards/accuracies': 0.3125, 'rewards/margins': -0.007476378232240677, 'logps/rejected': -204.5957794189453, 'logps/chosen': -171.60897827148438, 'logits/rejected': 0.6623603105545044, 'logits/chosen': 0.7520768642425537, 'epoch': 0.01}
{'loss': 0.6806, 'learning_rate': 1.1000000000000001e-05, 'rewards/chosen': 0.010501723736524582, 'rewards/rejected': -0.01606433466076851, 'rewards/accuracies': 0.625, 'rewards/margins': 0.02656606025993824, 'logps/rejected': -237.10472106933594, 'logps/chosen': -173.9716796875, 'logits/rejected': 0.3171254098415375, 'logits/chosen': 0.9143396615982056, 'epoch': 0.01}
{'loss': 0.6853, 'learning_rate': 1.2e-05, 'rewards/chosen': 0.005026270169764757, 'rewards/rejected': -0.011508215218782425, 'rewards/accuracies': 0.75, 'rewards/margins': 0.016534484922885895, 'logps/rejected': -171.1951141357422, 'logps/chosen': -207.6723175048828, 'logits/rejected': 0.27350953221321106, 'logits/chosen': 0.3505413830280304, 'epoch': 0.02}
{'loss': 0.6868, 'learning_rate': 1.3000000000000001e-05, 'rewards/chosen': 0.01031346246600151, 'rewards/rejected': -0.003038120223209262, 'rewards/accuracies': 0.625, 'rewards/margins': 0.01335158385336399, 'logps/rejected': -206.30551147460938, 'logps/chosen': -234.88638305664062, 'logits/rejected': 0.4071905016899109, 'logits/chosen': 0.5764530301094055, 'epoch': 0.02}
{'loss': 0.6848, 'learning_rate': 1.4000000000000001e-05, 'rewards/chosen': 0.010865605436265469, 'rewards/rejected': -0.006504751276224852, 'rewards/accuracies': 0.6875, 'rewards/margins': 0.017370356246829033, 'logps/rejected': -171.84657287597656, 'logps/chosen': -201.13275146484375, 'logits/rejected': 0.700581431388855, 'logits/chosen': 0.7718532085418701, 'epoch': 0.02}
{'loss': 0.6842, 'learning_rate': 1.5e-05, 'rewards/chosen': -0.0010210268665105104, 'rewards/rejected': -0.01999535784125328, 'rewards/accuracies': 0.625, 'rewards/margins': 0.01897432841360569, 'logps/rejected': -193.01095581054688, 'logps/chosen': -206.73019409179688, 'logits/rejected': 0.464536190032959, 'logits/chosen': 0.5108226537704468, 'epoch': 0.02}
{'loss': 0.6795, 'learning_rate': 1.6000000000000003e-05, 'rewards/chosen': 0.00016232719644904137, 'rewards/rejected': -0.028641050681471825, 'rewards/accuracies': 0.5625, 'rewards/margins': 0.028803378343582153, 'logps/rejected': -168.50180053710938, 'logps/chosen': -154.74119567871094, 'logits/rejected': 0.5326054692268372, 'logits/chosen': 0.6215252876281738, 'epoch': 0.02}
{'loss': 0.6665, 'learning_rate': 1.7000000000000003e-05, 'rewards/chosen': 0.007119429297745228, 'rewards/rejected': -0.047540903091430664, 'rewards/accuracies': 0.875, 'rewards/margins': 0.05466033145785332, 'logps/rejected': -202.58795166015625, 'logps/chosen': -132.75962829589844, 'logits/rejected': 0.4377283453941345, 'logits/chosen': 0.8246193528175354, 'epoch': 0.02}
{'loss': 0.6796, 'learning_rate': 1.8e-05, 'rewards/chosen': 0.009679806418716908, 'rewards/rejected': -0.01805143430829048, 'rewards/accuracies': 0.6875, 'rewards/margins': 0.027731239795684814, 'logps/rejected': -205.8505401611328, 'logps/chosen': -280.0304870605469, 'logits/rejected': 0.5570419430732727, 'logits/chosen': 0.6348274350166321, 'epoch': 0.02}
{'loss': 0.6813, 'learning_rate': 1.9e-05, 'rewards/chosen': 0.002000117674469948, 'rewards/rejected': -0.02277442067861557, 'rewards/accuracies': 0.5625, 'rewards/margins': 0.024774540215730667, 'logps/rejected': -219.95379638671875, 'logps/chosen': -158.96949768066406, 'logits/rejected': 0.21915271878242493, 'logits/chosen': 0.4150952100753784, 'epoch': 0.02}
